newTime,origin_stop,month,time,quantity,timeOfDay
2018-04-03,600014,2018-04,Weekday (3:00pm-6:59:59pm),98357,03
2018-04-04,600014,2018-04,Weekday (7:00pm-11:59:59pm),15583,04
2018-04-05,600014,2018-04,Weekend,24956,05
2018-05-01,600014,2018-05,Weekday (12:00am-8:29:59am),17834,01
2018-05-02,600014,2018-05,Weekday (8:30am-2:59:59pm),48857,02
2018-05-03,600014,2018-05,Weekday (3:00pm-6:59:59pm),125662,03
2018-05-04,600014,2018-05,Weekday (7:00pm-11:59:59pm),17441,04
2018-05-05,600014,2018-05,Weekend,18182,05
2018-06-01,600014,2018-06,Weekday (12:00am-8:29:59am),16337,01
2018-06-02,600014,2018-06,Weekday (8:30am-2:59:59pm),44142,02
2018-06-03,600014,2018-06,Weekday (3:00pm-6:59:59pm),119783,03
2018-06-04,600014,2018-06,Weekday (7:00pm-11:59:59pm),16299,04
2018-06-05,600014,2018-06,Weekend,26895,05
2018-07-01,600014,2018-07,Weekday (12:00am-8:29:59am),17757,01
2018-07-02,600014,2018-07,Weekday (8:30am-2:59:59pm),46749,02
2018-07-03,600014,2018-07,Weekday (3:00pm-6:59:59pm),122556,03
2018-07-04,600014,2018-07,Weekday (7:00pm-11:59:59pm),16930,04
2018-07-05,600014,2018-07,Weekend,25393,05
2018-08-01,600014,2018-08,Weekday (12:00am-8:29:59am),19295,01
2018-08-02,600014,2018-08,Weekday (8:30am-2:59:59pm),51565,02
2018-08-03,600014,2018-08,Weekday (3:00pm-6:59:59pm),135589,03
2018-08-04,600014,2018-08,Weekday (7:00pm-11:59:59pm),21324,04
2018-08-05,600014,2018-08,Weekend,28088,05
2018-09-01,600014,2018-09,Weekday (12:00am-8:29:59am),16493,01
2018-09-02,600014,2018-09,Weekday (8:30am-2:59:59pm),43769,02
2018-09-03,600014,2018-09,Weekday (3:00pm-6:59:59pm),113196,03
2018-09-04,600014,2018-09,Weekday (7:00pm-11:59:59pm),16333,04
2018-09-05,600014,2018-09,Weekend,33061,05
2018-10-01,600014,2018-10,Weekday (12:00am-8:29:59am),18669,01
2018-10-02,600014,2018-10,Weekday (8:30am-2:59:59pm),49678,02
2018-10-03,600014,2018-10,Weekday (3:00pm-6:59:59pm),133280,03
2018-10-04,600014,2018-10,Weekday (7:00pm-11:59:59pm),18102,04
2018-10-05,600014,2018-10,Weekend,26093,05
2018-11-01,600014,2018-11,Weekday (12:00am-8:29:59am),18876,01
2018-11-02,600014,2018-11,Weekday (8:30am-2:59:59pm),48884,02
2018-11-03,600014,2018-11,Weekday (3:00pm-6:59:59pm),135339,03
2018-11-04,600014,2018-11,Weekday (7:00pm-11:59:59pm),21695,04
2018-11-05,600014,2018-11,Weekend,25562,05
2018-12-01,600014,2018-12,Weekday (12:00am-8:29:59am),13660,01
2018-12-02,600014,2018-12,Weekday (8:30am-2:59:59pm),38085,02
2018-12-03,600014,2018-12,Weekday (3:00pm-6:59:59pm),85235,03
2018-12-04,600014,2018-12,Weekday (7:00pm-11:59:59pm),17160,04
2018-12-05,600014,2018-12,Weekend,25157,05
2019-01-01,600014,2019-01,Weekday (12:00am-8:29:59am),15814,01
2019-01-02,600014,2019-01,Weekday (8:30am-2:59:59pm),41641,02
2019-01-03,600014,2019-01,Weekday (3:00pm-6:59:59pm),111003,03
2019-01-04,600014,2019-01,Weekday (7:00pm-11:59:59pm),16118,04
2019-01-05,600014,2019-01,Weekend,21441,05
2019-02-01,600014,2019-02,Weekday (12:00am-8:29:59am),17047,01
