newTime,origin_stop,month,time,quantity,timeOfDay
2017-04-05,1797,2017-04,Weekend,8978,05
2017-05-01,1797,2017-05,Weekday (12:00am-8:29:59am),511,01
2017-05-02,1797,2017-05,Weekday (8:30am-2:59:59pm),22406,02
2017-05-03,1797,2017-05,Weekday (3:00pm-6:59:59pm),32666,03
2017-05-04,1797,2017-05,Weekday (7:00pm-11:59:59pm),12491,04
2017-05-05,1797,2017-05,Weekend,7498,05
2017-06-01,1797,2017-06,Weekday (12:00am-8:29:59am),500,01
2017-06-02,1797,2017-06,Weekday (8:30am-2:59:59pm),12994,02
2017-06-03,1797,2017-06,Weekday (3:00pm-6:59:59pm),17260,03
2017-06-04,1797,2017-06,Weekday (7:00pm-11:59:59pm),9185,04
2017-06-05,1797,2017-06,Weekend,7012,05
2017-07-01,1797,2017-07,Weekday (12:00am-8:29:59am),271,01
2017-07-02,1797,2017-07,Weekday (8:30am-2:59:59pm),13873,02
2017-07-03,1797,2017-07,Weekday (3:00pm-6:59:59pm),17444,03
2017-07-04,1797,2017-07,Weekday (7:00pm-11:59:59pm),4768,04
2017-07-05,1797,2017-07,Weekend,4751,05
2017-08-01,1797,2017-08,Weekday (12:00am-8:29:59am),367,01
2017-08-02,1797,2017-08,Weekday (8:30am-2:59:59pm),19896,02
2017-08-03,1797,2017-08,Weekday (3:00pm-6:59:59pm),31800,03
2017-08-04,1797,2017-08,Weekday (7:00pm-11:59:59pm),10060,04
2017-08-05,1797,2017-08,Weekend,6590,05
2017-09-01,1797,2017-09,Weekday (12:00am-8:29:59am),417,01
2017-09-02,1797,2017-09,Weekday (8:30am-2:59:59pm),16819,02
2017-09-03,1797,2017-09,Weekday (3:00pm-6:59:59pm),26427,03
2017-09-04,1797,2017-09,Weekday (7:00pm-11:59:59pm),9822,04
2017-09-05,1797,2017-09,Weekend,7459,05
2017-10-01,1797,2017-10,Weekday (12:00am-8:29:59am),517,01
2017-10-02,1797,2017-10,Weekday (8:30am-2:59:59pm),18228,02
2017-10-03,1797,2017-10,Weekday (3:00pm-6:59:59pm),30016,03
2017-10-04,1797,2017-10,Weekday (7:00pm-11:59:59pm),11838,04
2017-10-05,1797,2017-10,Weekend,7865,05
2017-11-01,1797,2017-11,Weekday (12:00am-8:29:59am),452,01
2017-11-02,1797,2017-11,Weekday (8:30am-2:59:59pm),11973,02
2017-11-03,1797,2017-11,Weekday (3:00pm-6:59:59pm),16658,03
2017-11-04,1797,2017-11,Weekday (7:00pm-11:59:59pm),7780,04
2017-11-05,1797,2017-11,Weekend,5926,05
2017-12-01,1797,2017-12,Weekday (12:00am-8:29:59am),194,01
2017-12-02,1797,2017-12,Weekday (8:30am-2:59:59pm),5802,02
2017-12-03,1797,2017-12,Weekday (3:00pm-6:59:59pm),8027,03
2017-12-04,1797,2017-12,Weekday (7:00pm-11:59:59pm),2548,04
2017-12-05,1797,2017-12,Weekend,2593,05
2018-01-01,1797,2018-01,Weekday (12:00am-8:29:59am),240,01
2018-01-02,1797,2018-01,Weekday (8:30am-2:59:59pm),6333,02
2018-01-03,1797,2018-01,Weekday (3:00pm-6:59:59pm),9819,03
2018-01-04,1797,2018-01,Weekday (7:00pm-11:59:59pm),2641,04
2018-01-05,1797,2018-01,Weekend,1981,05
2018-02-01,1797,2018-02,Weekday (12:00am-8:29:59am),278,01
2018-02-02,1797,2018-02,Weekday (8:30am-2:59:59pm),16228,02
2018-02-03,1797,2018-02,Weekday (3:00pm-6:59:59pm),20267,03
2018-02-04,1797,2018-02,Weekday (7:00pm-11:59:59pm),5461,04
2018-02-05,1797,2018-02,Weekend,4194,05
2018-03-01,1797,2018-03,Weekday (12:00am-8:29:59am),430,01
2018-03-02,1797,2018-03,Weekday (8:30am-2:59:59pm),24152,02
2018-03-03,1797,2018-03,Weekday (3:00pm-6:59:59pm),33338,03
2018-03-04,1797,2018-03,Weekday (7:00pm-11:59:59pm),10843,04
2018-03-05,1797,2018-03,Weekend,7715,05
2018-04-01,1797,2018-04,Weekday (12:00am-8:29:59am),352,01
2018-04-02,1797,2018-04,Weekday (8:30am-2:59:59pm),13691,02
2018-04-03,1797,2018-04,Weekday (3:00pm-6:59:59pm),20892,03
2018-04-04,1797,2018-04,Weekday (7:00pm-11:59:59pm),8243,04
2018-04-05,1797,2018-04,Weekend,7853,05
2018-05-01,1797,2018-05,Weekday (12:00am-8:29:59am),478,01
2018-05-02,1797,2018-05,Weekday (8:30am-2:59:59pm),21055,02
2018-05-03,1797,2018-05,Weekday (3:00pm-6:59:59pm),31011,03
2018-05-04,1797,2018-05,Weekday (7:00pm-11:59:59pm),13075,04
2018-05-05,1797,2018-05,Weekend,7495,05
2018-06-01,1797,2018-06,Weekday (12:00am-8:29:59am),464,01
2018-06-02,1797,2018-06,Weekday (8:30am-2:59:59pm),11344,02
2018-06-03,1797,2018-06,Weekday (3:00pm-6:59:59pm),16175,03
2018-06-04,1797,2018-06,Weekday (7:00pm-11:59:59pm),8934,04
2018-06-05,1797,2018-06,Weekend,7996,05
2018-07-01,1797,2018-07,Weekday (12:00am-8:29:59am),306,01
2018-07-02,1797,2018-07,Weekday (8:30am-2:59:59pm),13914,02
2018-07-03,1797,2018-07,Weekday (3:00pm-6:59:59pm),19246,03
2018-07-04,1797,2018-07,Weekday (7:00pm-11:59:59pm),5319,04
2018-07-05,1797,2018-07,Weekend,4385,05
2018-08-01,1797,2018-08,Weekday (12:00am-8:29:59am),492,01
2018-08-02,1797,2018-08,Weekday (8:30am-2:59:59pm),23681,02
2018-08-03,1797,2018-08,Weekday (3:00pm-6:59:59pm),37861,03
2018-08-04,1797,2018-08,Weekday (7:00pm-11:59:59pm),12029,04
2018-08-05,1797,2018-08,Weekend,6376,05
2018-09-01,1797,2018-09,Weekday (12:00am-8:29:59am),473,01
2018-09-02,1797,2018-09,Weekday (8:30am-2:59:59pm),16189,02
2018-09-03,1797,2018-09,Weekday (3:00pm-6:59:59pm),26029,03
2018-09-04,1797,2018-09,Weekday (7:00pm-11:59:59pm),9435,04
2018-09-05,1797,2018-09,Weekend,8973,05
2018-10-01,1797,2018-10,Weekday (12:00am-8:29:59am),647,01
2018-10-02,1797,2018-10,Weekday (8:30am-2:59:59pm),20379,02
2018-10-03,1797,2018-10,Weekday (3:00pm-6:59:59pm),32175,03
2018-10-04,1797,2018-10,Weekday (7:00pm-11:59:59pm),13387,04
2018-10-05,1797,2018-10,Weekend,7409,05
2018-11-01,1797,2018-11,Weekday (12:00am-8:29:59am),439,01
2018-11-02,1797,2018-11,Weekday (8:30am-2:59:59pm),12851,02
2018-11-03,1797,2018-11,Weekday (3:00pm-6:59:59pm),17384,03
2018-11-04,1797,2018-11,Weekday (7:00pm-11:59:59pm),8303,04
2018-11-05,1797,2018-11,Weekend,5805,05
2018-12-01,1797,2018-12,Weekday (12:00am-8:29:59am),212,01
2018-12-02,1797,2018-12,Weekday (8:30am-2:59:59pm),5695,02
2018-12-03,1797,2018-12,Weekday (3:00pm-6:59:59pm),8010,03
2018-12-04,1797,2018-12,Weekday (7:00pm-11:59:59pm),2497,04
2018-12-05,1797,2018-12,Weekend,2585,05
2019-01-01,1797,2019-01,Weekday (12:00am-8:29:59am),204,01
2019-01-02,1797,2019-01,Weekday (8:30am-2:59:59pm),6137,02
2019-01-03,1797,2019-01,Weekday (3:00pm-6:59:59pm),9910,03
2019-01-04,1797,2019-01,Weekday (7:00pm-11:59:59pm),2497,04
2019-01-05,1797,2019-01,Weekend,1929,05
2019-02-01,1797,2019-02,Weekday (12:00am-8:29:59am),268,01
2019-02-02,1797,2019-02,Weekday (8:30am-2:59:59pm),13979,02
2019-02-03,1797,2019-02,Weekday (3:00pm-6:59:59pm),16654,03
2019-02-04,1797,2019-02,Weekday (7:00pm-11:59:59pm),4523,04
2019-02-05,1797,2019-02,Weekend,2900,05
2019-03-01,1797,2019-03,Weekday (12:00am-8:29:59am),403,01
2019-03-02,1797,2019-03,Weekday (8:30am-2:59:59pm),26499,02
2019-03-03,1797,2019-03,Weekday (3:00pm-6:59:59pm),38367,03
2019-03-04,1797,2019-03,Weekday (7:00pm-11:59:59pm),12259,04
2019-03-05,1797,2019-03,Weekend,8279,05
2019-04-01,1797,2019-04,Weekday (12:00am-8:29:59am),415,01
2019-04-02,1797,2019-04,Weekday (8:30am-2:59:59pm),19930,02
2019-04-03,1797,2019-04,Weekday (3:00pm-6:59:59pm),29522,03
2019-04-04,1797,2019-04,Weekday (7:00pm-11:59:59pm),11129,04
2019-04-05,1797,2019-04,Weekend,6755,05
2019-05-01,1797,2019-05,Weekday (12:00am-8:29:59am),489,01
2019-05-02,1797,2019-05,Weekday (8:30am-2:59:59pm),23724,02
2019-05-03,1797,2019-05,Weekday (3:00pm-6:59:59pm),33986,03
2019-05-04,1797,2019-05,Weekday (7:00pm-11:59:59pm),13762,04
2019-05-05,1797,2019-05,Weekend,7487,05
2019-06-01,1797,2019-06,Weekday (12:00am-8:29:59am),336,01
2019-06-02,1797,2019-06,Weekday (8:30am-2:59:59pm),11190,02
2019-06-03,1797,2019-06,Weekday (3:00pm-6:59:59pm),16430,03
2019-06-04,1797,2019-06,Weekday (7:00pm-11:59:59pm),8694,04
2019-06-05,1797,2019-06,Weekend,7644,05
2019-07-01,1797,2019-07,Weekday (12:00am-8:29:59am),289,01
2019-07-02,1797,2019-07,Weekday (8:30am-2:59:59pm),16669,02
2019-07-03,1797,2019-07,Weekday (3:00pm-6:59:59pm),23586,03
2019-07-04,1797,2019-07,Weekday (7:00pm-11:59:59pm),5966,04
2019-07-05,1797,2019-07,Weekend,3820,05
2019-08-01,1797,2019-08,Weekday (12:00am-8:29:59am),387,01
2019-08-02,1797,2019-08,Weekday (8:30am-2:59:59pm),23977,02
2019-08-03,1797,2019-08,Weekday (3:00pm-6:59:59pm),36160,03
2019-08-04,1797,2019-08,Weekday (7:00pm-11:59:59pm),11862,04
2019-08-05,1797,2019-08,Weekend,7447,05
2019-09-01,1797,2019-09,Weekday (12:00am-8:29:59am),409,01
2019-09-02,1797,2019-09,Weekday (8:30am-2:59:59pm),21608,02
2019-09-03,1797,2019-09,Weekday (3:00pm-6:59:59pm),32312,03
2019-09-04,1797,2019-09,Weekday (7:00pm-11:59:59pm),11395,04
2019-09-05,1797,2019-09,Weekend,7858,05
2019-10-01,1797,2019-10,Weekday (12:00am-8:29:59am),467,01
2019-10-02,1797,2019-10,Weekday (8:30am-2:59:59pm),18587,02
2019-10-03,1797,2019-10,Weekday (3:00pm-6:59:59pm),28360,03
2019-10-04,1797,2019-10,Weekday (7:00pm-11:59:59pm),11654,04
2019-10-05,1797,2019-10,Weekend,7443,05
2019-11-01,1797,2019-11,Weekday (12:00am-8:29:59am),334,01
2019-11-02,1797,2019-11,Weekday (8:30am-2:59:59pm),12186,02
2019-11-03,1797,2019-11,Weekday (3:00pm-6:59:59pm),16749,03
2019-11-04,1797,2019-11,Weekday (7:00pm-11:59:59pm),7104,04
2019-11-05,1797,2019-11,Weekend,6204,05
2019-12-01,1797,2019-12,Weekday (12:00am-8:29:59am),147,01
2019-12-02,1797,2019-12,Weekday (8:30am-2:59:59pm),6007,02
2019-12-03,1797,2019-12,Weekday (3:00pm-6:59:59pm),8209,03
2019-12-04,1797,2019-12,Weekday (7:00pm-11:59:59pm),2380,04
2019-12-05,1797,2019-12,Weekend,2281,05
2017-01-01,10140,2017-01,Weekday (12:00am-8:29:59am),70,01
2017-01-02,10140,2017-01,Weekday (8:30am-2:59:59pm),38,02
2017-01-03,10140,2017-01,Weekday (3:00pm-6:59:59pm),40,03
2017-01-05,10140,2017-01,Weekend,11,05
2017-02-01,10140,2017-02,Weekday (12:00am-8:29:59am),171,01
2017-02-02,10140,2017-02,Weekday (8:30am-2:59:59pm),45,02
2017-02-03,10140,2017-02,Weekday (3:00pm-6:59:59pm),37,03
2017-02-04,10140,2017-02,Weekday (7:00pm-11:59:59pm),1,04
2017-02-05,10140,2017-02,Weekend,13,05
2017-03-01,10140,2017-03,Weekday (12:00am-8:29:59am),154,01
2017-03-02,10140,2017-03,Weekday (8:30am-2:59:59pm),70,02
2017-03-03,10140,2017-03,Weekday (3:00pm-6:59:59pm),54,03
2017-03-05,10140,2017-03,Weekend,7,05
2017-04-01,10140,2017-04,Weekday (12:00am-8:29:59am),69,01
2017-04-02,10140,2017-04,Weekday (8:30am-2:59:59pm),49,02
2017-04-03,10140,2017-04,Weekday (3:00pm-6:59:59pm),43,03
2017-04-04,10140,2017-04,Weekday (7:00pm-11:59:59pm),1,04
2017-04-05,10140,2017-04,Weekend,18,05
2017-05-01,10140,2017-05,Weekday (12:00am-8:29:59am),136,01
2017-05-02,10140,2017-05,Weekday (8:30am-2:59:59pm),70,02
2017-05-03,10140,2017-05,Weekday (3:00pm-6:59:59pm),72,03
2017-05-05,10140,2017-05,Weekend,6,05
2017-06-01,10140,2017-06,Weekday (12:00am-8:29:59am),108,01
2017-06-02,10140,2017-06,Weekday (8:30am-2:59:59pm),48,02
2017-06-03,10140,2017-06,Weekday (3:00pm-6:59:59pm),35,03
2017-06-04,10140,2017-06,Weekday (7:00pm-11:59:59pm),1,04
2017-06-05,10140,2017-06,Weekend,15,05
2017-07-01,10140,2017-07,Weekday (12:00am-8:29:59am),103,01
2017-07-02,10140,2017-07,Weekday (8:30am-2:59:59pm),59,02
2017-07-03,10140,2017-07,Weekday (3:00pm-6:59:59pm),42,03
2017-07-04,10140,2017-07,Weekday (7:00pm-11:59:59pm),1,04
2017-07-05,10140,2017-07,Weekend,24,05
2017-08-01,10140,2017-08,Weekday (12:00am-8:29:59am),169,01
2017-08-02,10140,2017-08,Weekday (8:30am-2:59:59pm),64,02
2017-08-03,10140,2017-08,Weekday (3:00pm-6:59:59pm),33,03
2017-08-05,10140,2017-08,Weekend,12,05
2017-09-01,10140,2017-09,Weekday (12:00am-8:29:59am),141,01
2017-09-02,10140,2017-09,Weekday (8:30am-2:59:59pm),69,02
2017-09-03,10140,2017-09,Weekday (3:00pm-6:59:59pm),20,03
2017-09-04,10140,2017-09,Weekday (7:00pm-11:59:59pm),3,04
2017-09-05,10140,2017-09,Weekend,10,05
2017-10-01,10140,2017-10,Weekday (12:00am-8:29:59am),195,01
2017-10-02,10140,2017-10,Weekday (8:30am-2:59:59pm),51,02
2017-10-03,10140,2017-10,Weekday (3:00pm-6:59:59pm),18,03
2017-10-04,10140,2017-10,Weekday (7:00pm-11:59:59pm),1,04
2017-10-05,10140,2017-10,Weekend,7,05
2017-11-01,10140,2017-11,Weekday (12:00am-8:29:59am),173,01
2017-11-02,10140,2017-11,Weekday (8:30am-2:59:59pm),43,02
2017-11-03,10140,2017-11,Weekday (3:00pm-6:59:59pm),26,03
2017-11-04,10140,2017-11,Weekday (7:00pm-11:59:59pm),1,04
2017-11-05,10140,2017-11,Weekend,6,05
2017-12-01,10140,2017-12,Weekday (12:00am-8:29:59am),70,01
2017-12-02,10140,2017-12,Weekday (8:30am-2:59:59pm),35,02
2017-12-03,10140,2017-12,Weekday (3:00pm-6:59:59pm),12,03
2017-12-05,10140,2017-12,Weekend,9,05
2018-01-01,10140,2018-01,Weekday (12:00am-8:29:59am),114,01
2018-01-02,10140,2018-01,Weekday (8:30am-2:59:59pm),46,02
2018-01-03,10140,2018-01,Weekday (3:00pm-6:59:59pm),19,03
2018-01-04,10140,2018-01,Weekday (7:00pm-11:59:59pm),2,04
2018-01-05,10140,2018-01,Weekend,10,05
2018-02-01,10140,2018-02,Weekday (12:00am-8:29:59am),116,01
2018-02-02,10140,2018-02,Weekday (8:30am-2:59:59pm),42,02
2018-02-03,10140,2018-02,Weekday (3:00pm-6:59:59pm),21,03
2018-02-04,10140,2018-02,Weekday (7:00pm-11:59:59pm),4,04
2018-02-05,10140,2018-02,Weekend,15,05
2018-03-01,10140,2018-03,Weekday (12:00am-8:29:59am),160,01
2018-03-02,10140,2018-03,Weekday (8:30am-2:59:59pm),50,02
2018-03-03,10140,2018-03,Weekday (3:00pm-6:59:59pm),21,03
2018-03-04,10140,2018-03,Weekday (7:00pm-11:59:59pm),1,04
2018-03-05,10140,2018-03,Weekend,19,05
2018-04-01,10140,2018-04,Weekday (12:00am-8:29:59am),137,01
2018-04-02,10140,2018-04,Weekday (8:30am-2:59:59pm),38,02
2018-04-03,10140,2018-04,Weekday (3:00pm-6:59:59pm),15,03
2018-04-05,10140,2018-04,Weekend,22,05
2018-05-01,10140,2018-05,Weekday (12:00am-8:29:59am),158,01
2018-05-02,10140,2018-05,Weekday (8:30am-2:59:59pm),89,02
2018-05-03,10140,2018-05,Weekday (3:00pm-6:59:59pm),25,03
2018-05-05,10140,2018-05,Weekend,7,05
2018-06-01,10140,2018-06,Weekday (12:00am-8:29:59am),97,01
2018-06-02,10140,2018-06,Weekday (8:30am-2:59:59pm),58,02
2018-06-03,10140,2018-06,Weekday (3:00pm-6:59:59pm),20,03
2018-06-04,10140,2018-06,Weekday (7:00pm-11:59:59pm),2,04
2018-06-05,10140,2018-06,Weekend,22,05
2018-07-01,10140,2018-07,Weekday (12:00am-8:29:59am),124,01
2018-07-02,10140,2018-07,Weekday (8:30am-2:59:59pm),84,02
2018-07-03,10140,2018-07,Weekday (3:00pm-6:59:59pm),26,03
2018-07-05,10140,2018-07,Weekend,16,05
2018-08-01,10140,2018-08,Weekday (12:00am-8:29:59am),133,01
2018-08-02,10140,2018-08,Weekday (8:30am-2:59:59pm),81,02
2018-08-03,10140,2018-08,Weekday (3:00pm-6:59:59pm),22,03
2018-08-04,10140,2018-08,Weekday (7:00pm-11:59:59pm),1,04
2018-08-05,10140,2018-08,Weekend,16,05
2018-09-01,10140,2018-09,Weekday (12:00am-8:29:59am),98,01
2018-09-02,10140,2018-09,Weekday (8:30am-2:59:59pm),64,02
2018-09-03,10140,2018-09,Weekday (3:00pm-6:59:59pm),10,03
2018-09-04,10140,2018-09,Weekday (7:00pm-11:59:59pm),1,04
2018-09-05,10140,2018-09,Weekend,23,05
2018-10-01,10140,2018-10,Weekday (12:00am-8:29:59am),154,01
2018-10-02,10140,2018-10,Weekday (8:30am-2:59:59pm),68,02
2018-10-03,10140,2018-10,Weekday (3:00pm-6:59:59pm),24,03
2018-10-04,10140,2018-10,Weekday (7:00pm-11:59:59pm),4,04
2018-10-05,10140,2018-10,Weekend,15,05
2018-11-01,10140,2018-11,Weekday (12:00am-8:29:59am),148,01
2018-11-02,10140,2018-11,Weekday (8:30am-2:59:59pm),52,02
2018-11-03,10140,2018-11,Weekday (3:00pm-6:59:59pm),27,03
2018-11-05,10140,2018-11,Weekend,13,05
2018-12-01,10140,2018-12,Weekday (12:00am-8:29:59am),90,01
2018-12-02,10140,2018-12,Weekday (8:30am-2:59:59pm),44,02
2018-12-03,10140,2018-12,Weekday (3:00pm-6:59:59pm),13,03
2018-12-04,10140,2018-12,Weekday (7:00pm-11:59:59pm),1,04
2018-12-05,10140,2018-12,Weekend,28,05
2019-01-01,10140,2019-01,Weekday (12:00am-8:29:59am),72,01
2019-01-02,10140,2019-01,Weekday (8:30am-2:59:59pm),54,02
2019-01-03,10140,2019-01,Weekday (3:00pm-6:59:59pm),9,03
2019-01-05,10140,2019-01,Weekend,11,05
2019-02-01,10140,2019-02,Weekday (12:00am-8:29:59am),185,01
2019-02-02,10140,2019-02,Weekday (8:30am-2:59:59pm),44,02
2019-02-03,10140,2019-02,Weekday (3:00pm-6:59:59pm),14,03
2019-02-05,10140,2019-02,Weekend,13,05
2019-03-01,10140,2019-03,Weekday (12:00am-8:29:59am),156,01
2019-03-02,10140,2019-03,Weekday (8:30am-2:59:59pm),41,02
2019-03-03,10140,2019-03,Weekday (3:00pm-6:59:59pm),14,03
2019-03-05,10140,2019-03,Weekend,19,05
2019-04-01,10140,2019-04,Weekday (12:00am-8:29:59am),102,01
2019-04-02,10140,2019-04,Weekday (8:30am-2:59:59pm),59,02
2019-04-03,10140,2019-04,Weekday (3:00pm-6:59:59pm),14,03
2019-04-05,10140,2019-04,Weekend,10,05
2019-05-01,10140,2019-05,Weekday (12:00am-8:29:59am),172,01
2019-05-02,10140,2019-05,Weekday (8:30am-2:59:59pm),61,02
2019-05-03,10140,2019-05,Weekday (3:00pm-6:59:59pm),26,03
2019-05-05,10140,2019-05,Weekend,12,05
2019-06-01,10140,2019-06,Weekday (12:00am-8:29:59am),147,01
2019-06-02,10140,2019-06,Weekday (8:30am-2:59:59pm),50,02
2019-06-03,10140,2019-06,Weekday (3:00pm-6:59:59pm),26,03
2019-06-04,10140,2019-06,Weekday (7:00pm-11:59:59pm),1,04
2019-06-05,10140,2019-06,Weekend,13,05
2019-07-01,10140,2019-07,Weekday (12:00am-8:29:59am),125,01
2019-07-02,10140,2019-07,Weekday (8:30am-2:59:59pm),50,02
2019-07-03,10140,2019-07,Weekday (3:00pm-6:59:59pm),29,03
2019-07-04,10140,2019-07,Weekday (7:00pm-11:59:59pm),2,04
2019-07-05,10140,2019-07,Weekend,9,05
2019-08-01,10140,2019-08,Weekday (12:00am-8:29:59am),120,01
2019-08-02,10140,2019-08,Weekday (8:30am-2:59:59pm),49,02
2019-08-03,10140,2019-08,Weekday (3:00pm-6:59:59pm),7,03
2019-08-04,10140,2019-08,Weekday (7:00pm-11:59:59pm),1,04
2019-08-05,10140,2019-08,Weekend,16,05
2019-09-01,10140,2019-09,Weekday (12:00am-8:29:59am),114,01
2019-09-02,10140,2019-09,Weekday (8:30am-2:59:59pm),47,02
2019-09-03,10140,2019-09,Weekday (3:00pm-6:59:59pm),15,03
2019-09-05,10140,2019-09,Weekend,16,05
2019-10-01,10140,2019-10,Weekday (12:00am-8:29:59am),137,01
2019-10-02,10140,2019-10,Weekday (8:30am-2:59:59pm),52,02
2019-10-03,10140,2019-10,Weekday (3:00pm-6:59:59pm),11,03
2019-10-05,10140,2019-10,Weekend,9,05
2019-11-01,10140,2019-11,Weekday (12:00am-8:29:59am),131,01
2019-11-02,10140,2019-11,Weekday (8:30am-2:59:59pm),67,02
2019-11-03,10140,2019-11,Weekday (3:00pm-6:59:59pm),17,03
2019-11-04,10140,2019-11,Weekday (7:00pm-11:59:59pm),1,04
2019-11-05,10140,2019-11,Weekend,5,05
2019-12-01,10140,2019-12,Weekday (12:00am-8:29:59am),103,01
2019-12-02,10140,2019-12,Weekday (8:30am-2:59:59pm),66,02
2019-12-03,10140,2019-12,Weekday (3:00pm-6:59:59pm),18,03
2019-12-04,10140,2019-12,Weekday (7:00pm-11:59:59pm),2,04
2019-12-05,10140,2019-12,Weekend,14,05
